,Report Time,Time,Home Team,Away Team,TOPsport HW,TOPsport AW,Optibet HW,Optibet AW,Cbet HW,Cbet AW,Olybet HW,Olybet AW,Unibet HW,Unibet AW,Betsafe HW,Betsafe AW
0,2020-01-29 17:15,02:00,Indiana Pacers,Chicago Bulls,1.30,3.85,1.21,4.24,1.25,4.35,1.23,4.15,1.21,4.75,1.25,4.35
1,2020-01-29 17:15,02:30,Brooklyn Nets,Detroit Pistons,1.38,3.28,1.36,3.10,1.39,3.20,1.37,3.05,1.35,3.30,1.39,3.20
2,2020-01-29 17:15,02:30,New York Knicks,Memphis Grizzlies,2.17,1.76,2.10,1.71,2.20,1.73,2.14,1.71,2.14,1.74,2.20,1.73
3,2020-01-29 17:15,03:30,San Antonio Spurs,Utah Jazz,2.92,1.46,2.65,1.47,2.80,1.49,2.65,1.47,2.80,1.46,2.80,1.49
4,2020-01-29 17:15,05:00,Sacramento Kings,Oklahoma City Thunder,2.42,1.63,2.25,1.62,2.35,1.66,2.27,1.63,,,2.35,1.67
5,2020-01-29 17:15,05:00,Portland Trail Blazers,Houston Rockets,2.06,1.85,2.03,1.76,2.10,1.80,2.07,1.78,,,2.10,1.80
0,2020-01-30 10:44,02:00,Cleveland Cavaliers,Toronto Raptors,5.27,1.19,5.26,1.15,5.15,1.19,,,4.90,1.20,5.15,1.19
1,2020-01-30 10:44,02:00,Washington Wizards,Charlotte Hornets,1.59,2.51,1.57,2.36,1.60,2.50,1.57,2.40,1.58,2.45,1.60,2.50
2,2020-01-30 10:44,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.32,3.63,1.27,3.75,1.31,,,3.85,1.28,,
3,2020-01-30 10:44,03:00,Boston Celtics,Golden State Warriors,1.16,6.10,,,,,,,1.13,6.50,,
4,2020-01-30 10:44,05:30,Los Angeles Clippers,Sacramento Kings,1.16,6.10,1.10,6.81,,,,,1.14,6.40,,
5,2020-01-30 10:44,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,1.80,1.98,1.83,2.05,,,1.84,2.02,1.80,2.00
0,2020-01-30 10:51,02:00,Cleveland Cavaliers,Toronto Raptors,5.27,1.19,5.26,1.15,5.15,1.19,5.00,1.18,4.90,1.20,5.15,1.19
1,2020-01-30 10:51,02:00,Washington Wizards,Charlotte Hornets,1.59,2.51,1.57,2.36,1.60,2.50,1.57,2.40,1.58,2.45,1.60,2.50
2,2020-01-30 10:51,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.32,3.63,1.27,3.75,1.31,3.45,1.30,3.85,1.28,,
3,2020-01-30 10:51,03:00,Boston Celtics,Golden State Warriors,1.16,6.10,,,,,1.10,7.50,1.13,6.50,,
4,2020-01-30 10:51,05:30,Los Angeles Clippers,Sacramento Kings,1.16,6.10,1.10,6.81,,,1.10,7.50,1.14,6.40,,
5,2020-01-30 10:51,05:30,Denver Nuggets,Utah Jazz,1.84,2.06,1.80,1.98,1.83,2.05,,,1.84,2.02,1.80,2.00
0,2020-01-30 14:07,02:00,Cleveland Cavaliers,Toronto Raptors,5.27,1.19,5.31,1.15,5.20,1.19,,,4.90,1.20,5.20,1.19
1,2020-01-30 14:07,02:00,Washington Wizards,Charlotte Hornets,1.59,2.51,1.55,2.41,1.57,2.50,1.57,2.40,1.58,2.45,1.57,2.52
2,2020-01-30 14:07,02:30,Atlanta Hawks,Philadelphia 76ers,3.68,1.32,3.61,1.28,3.75,1.31,,,3.85,1.28,,
3,2020-01-30 14:07,03:00,Boston Celtics,Golden State Warriors,1.16,6.10,1.08,7.68,1.11,7.55,,,1.10,6.50,1.09,7.40
